better,worse,m,mean_error_better,mean_error_worse,mean_difference,wins,n,p_wilcoxon,p_ttest,p_holm,significant,verdict
fcvae-20,lasso,10,0.06799476685278144,0.12165338580785126,0.053658618955069806,9,10,0.00390625,0.00449540472543969,0.01953125,True,better
fcvae-20,lasso,25,0.027607125769522827,0.11890471298112822,0.09129758721160539,10,10,0.001953125,6.578057547301219e-08,0.01953125,True,better
fcvae-20,lasso,50,0.011754778665881819,0.11710466446878572,0.1053498858029039,10,10,0.001953125,1.3886890550573303e-06,0.01953125,True,better
fcvae-20,lasso,75,0.008428177901947689,0.1127080972829487,0.10427991938100101,10,10,0.001953125,5.904493056076534e-06,0.01953125,True,better
fcvae-20,lasso,100,0.008292401977694002,0.10455147976397898,0.09625907778628498,10,10,0.001953125,1.551008070188201e-06,0.01953125,True,better
fcvae-20,lasso,200,0.0075065803850181394,0.08274876004178497,0.07524217965676683,10,10,0.001953125,2.6260352340159926e-05,0.01953125,True,better
fcvae-20,lasso,300,0.0071705362729180796,0.040762272643469696,0.033591736370551614,9,10,0.00390625,0.004301350525046164,0.01953125,True,better
fcvae-20,lasso,400,0.007245925083410751,0.010659345359680548,0.0034134202762698003,1,10,0.083984375,0.648012376211899,0.083984375,False,ns
fcvae-20,lasso,500,0.007233796938676559,0.0007985421230825223,-0.006435254815594036,0,10,0.001953125,0.00023998087920911902,0.01953125,True,worse
fcvae-20,lasso,750,0.00698345743043618,1.4992087551299813e-05,-0.00696846534288488,0,10,0.001953125,0.0004604875737100845,0.01953125,True,worse
fcvae-20,lasso-dct,10,0.06799476685278144,0.10320714915482716,0.03521238230204571,8,10,0.013671875,0.023099195784192023,0.029296875,True,better
fcvae-20,lasso-dct,25,0.027607125769522827,0.0986008996359513,0.07099377386642848,10,10,0.001953125,6.425058828977873e-06,0.01953125,True,better
fcvae-20,lasso-dct,50,0.011754778665881819,0.08348612010773508,0.07173134144185325,10,10,0.001953125,3.6173887838198484e-08,0.01953125,True,better
fcvae-20,lasso-dct,75,0.008428177901947689,0.07101344759972783,0.06258526969778014,10,10,0.001953125,5.690251925148022e-07,0.01953125,True,better
fcvae-20,lasso-dct,100,0.008292401977694002,0.06284362148014447,0.054551219502450454,10,10,0.001953125,2.370696692032478e-07,0.01953125,True,better
fcvae-20,lasso-dct,200,0.0075065803850181394,0.032468022208766455,0.02496144182374832,10,10,0.001953125,6.493486746448475e-07,0.01953125,True,better
fcvae-20,lasso-dct,300,0.0071705362729180796,0.02016867686141031,0.012998140588492229,10,10,0.001953125,7.030868340916877e-06,0.01953125,True,better
fcvae-20,lasso-dct,400,0.007245925083410751,0.011490191424748492,0.00424426634133774,8,10,0.009765625,0.0014607555987532213,0.029296875,True,better
fcvae-20,lasso-dct,500,0.007233796938676559,0.0064154130751658805,-0.00081838386351068,6,10,1.0,0.45030033409487963,1.0,False,ns
fcvae-20,lasso-dct,750,0.00698345743043618,0.0006302565982019099,-0.006353200832234269,0,10,0.001953125,0.0007460257975199278,0.01953125,True,worse
vae-20,lasso,10,0.0778148767162668,0.12165338580785126,0.04383850909158445,8,10,0.02734375,0.03089369168048855,0.0546875,False,ns
vae-20,lasso,25,0.02882262403796602,0.11890471298112822,0.09008208894316219,10,10,0.001953125,1.9482558149109448e-05,0.01953125,True,better
vae-20,lasso,50,0.01548855020836129,0.11710466446878572,0.10161611426042443,10,10,0.001953125,4.916284885699727e-06,0.01953125,True,better
vae-20,lasso,75,0.00877282982425035,0.1127080972829487,0.10393526745869833,10,10,0.001953125,7.295271681784678e-06,0.01953125,True,better
vae-20,lasso,100,0.008269784632219281,0.10455147976397898,0.09628169513175969,10,10,0.001953125,1.344201249302645e-06,0.01953125,True,better
